timestamp,ip,packet_size,request_rate,label
2024-11-06 20:22:17,192.168.0.18,544,30,Normal
2024-11-06 20:22:17,192.168.0.53,1334,17,Normal
2024-11-06 20:22:18,192.168.0.102,567,20,DDOS
2024-11-06 20:22:18,192.168.0.155,910,48,Normal
2024-11-06 20:22:19,192.168.0.87,687,11,Normal
2024-11-06 20:22:19,192.168.0.145,502,50,DDOS
2024-11-06 20:22:20,192.168.0.72,921,78,Normal
2024-11-06 20:22:20,192.168.0.83,1424,9,Normal
2024-11-06 20:22:21,192.168.0.53,1343,67,Normal
2024-11-06 20:22:21,192.168.0.247,1077,42,DDOS
2024-11-06 20:22:21,192.168.0.81,974,57,DDOS
2024-11-06 20:22:21,192.168.0.37,1238,37,Normal
2024-11-06 20:22:22,192.168.0.226,913,51,DDOS
2024-11-06 20:22:22,192.168.0.234,887,83,Port_Scan
2024-11-06 20:22:22,192.168.0.96,1091,66,Normal
2024-11-06 20:22:22,192.168.0.175,1372,33,Port_Scan
2024-11-06 20:22:23,192.168.0.84,1188,87,Port_Scan
2024-11-06 20:22:23,192.168.0.130,645,4,Port_Scan
2024-11-06 20:22:23,192.168.0.152,1055,82,Normal
2024-11-06 20:22:23,192.168.0.122,1285,97,Port_Scan
2024-11-06 20:22:24,192.168.0.18,576,82,Port_Scan
2024-11-06 20:22:24,192.168.0.228,1380,30,Port_Scan
2024-11-06 20:22:24,192.168.0.174,557,19,DDOS
2024-11-06 20:22:24,192.168.0.50,879,36,Normal
2024-11-06 20:22:25,192.168.0.44,1416,83,DDOS
2024-11-06 20:22:25,192.168.0.209,1321,84,Normal
2024-11-06 20:22:25,192.168.0.139,1438,40,DDOS
2024-11-06 20:22:25,192.168.0.185,528,8,Port_Scan
2024-11-06 20:22:26,192.168.0.127,1301,72,Port_Scan
2024-11-06 20:22:26,192.168.0.223,1435,37,DDOS
2024-11-06 20:22:26,192.168.0.20,1078,78,Port_Scan
2024-11-06 20:22:26,192.168.0.206,649,29,DDOS
2024-11-06 20:22:27,192.168.0.117,1130,53,Normal
2024-11-06 20:22:27,192.168.0.241,877,62,DDOS
2024-11-06 20:22:27,192.168.0.34,1469,67,DDOS
2024-11-06 20:22:27,192.168.0.69,547,46,DDOS
2024-11-06 20:22:28,192.168.0.116,1354,9,Port_Scan
2024-11-06 20:22:28,192.168.0.182,991,24,DDOS
2024-11-06 20:22:28,192.168.0.118,686,11,Normal
2024-11-06 20:22:28,192.168.0.67,1340,20,Port_Scan
2024-11-06 20:22:29,192.168.0.168,1413,57,Normal
2024-11-06 20:22:29,192.168.0.198,795,21,DDOS
2024-11-06 20:22:29,192.168.0.205,1380,60,Port_Scan
2024-11-06 20:22:29,192.168.0.37,1074,84,DDOS
2024-11-06 20:22:30,192.168.0.202,1478,14,DDOS
2024-11-06 20:22:30,192.168.0.215,1242,27,Normal
2024-11-06 20:22:30,192.168.0.9,1026,85,DDOS
2024-11-06 20:22:30,192.168.0.14,1054,73,Normal
2024-11-06 20:22:31,192.168.0.8,1118,97,Port_Scan
2024-11-06 20:22:31,192.168.0.221,1173,87,DDOS
2024-11-06 20:22:31,192.168.0.94,1265,16,DDOS
2024-11-06 20:22:31,192.168.0.185,1320,46,Normal
2024-11-06 20:22:32,192.168.0.227,707,1,Normal
2024-11-06 20:22:32,192.168.0.213,517,65,DDOS
2024-11-06 20:22:32,192.168.0.12,673,75,Port_Scan
2024-11-06 20:22:33,192.168.0.186,736,91,DDOS
2024-11-06 20:22:33,192.168.0.49,1056,58,DDOS
2024-11-06 20:22:33,192.168.0.234,1428,54,DDOS
2024-11-06 20:22:33,192.168.0.61,590,36,DDOS
2024-11-06 20:22:34,192.168.0.229,1023,76,DDOS
2024-11-06 20:22:34,192.168.0.167,1397,59,DDOS
2024-11-06 20:22:34,192.168.0.180,1032,36,Port_Scan
2024-11-06 20:22:34,192.168.0.226,565,36,Normal
2024-11-06 20:22:35,192.168.0.110,1169,52,Port_Scan
2024-11-06 20:22:35,192.168.0.30,1408,62,Normal
2024-11-06 20:22:35,192.168.0.68,1493,58,DDOS
2024-11-06 20:22:35,192.168.0.52,1364,54,Port_Scan
2024-11-06 20:22:36,192.168.0.178,1349,30,DDOS
2024-11-06 20:22:36,192.168.0.3,1317,32,Normal
2024-11-06 20:22:36,192.168.0.177,899,51,Port_Scan
2024-11-06 20:22:36,192.168.0.170,900,79,Port_Scan
2024-11-06 20:22:37,192.168.0.7,1060,38,DDOS
2024-11-06 20:22:37,192.168.0.180,1176,28,Port_Scan
2024-11-06 20:22:37,192.168.0.107,1282,93,Port_Scan
2024-11-06 20:22:38,192.168.0.131,874,70,Normal
2024-11-06 20:22:38,192.168.0.37,1144,11,Normal
2024-11-06 20:22:39,192.168.0.91,985,95,Port_Scan
2024-11-06 20:22:39,192.168.0.160,1206,30,DDOS
2024-11-06 20:22:40,192.168.0.200,1442,74,DDOS
2024-11-06 20:22:40,192.168.0.212,1261,86,Normal
2024-11-06 20:25:35,192.168.0.51,942,80,DDOS
2024-11-06 20:25:35,192.168.0.203,1043,49,Port_Scan
2024-11-06 20:25:36,192.168.0.102,927,26,Port_Scan
2024-11-06 20:25:36,192.168.0.66,1042,32,Port_Scan
2024-11-06 20:25:37,192.168.0.99,1196,24,DDOS
2024-11-06 20:25:37,192.168.0.109,555,71,Normal
2024-11-06 20:25:38,192.168.0.22,1168,48,DDOS
2024-11-06 20:25:38,192.168.0.54,1134,57,DDOS
2024-11-06 20:25:38,192.168.0.131,1024,75,Normal
2024-11-06 20:25:39,192.168.0.125,1376,49,Normal
2024-11-06 20:25:39,192.168.0.29,1205,49,Port_Scan
2024-11-06 20:25:39,192.168.0.184,741,68,DDOS
2024-11-06 20:25:40,192.168.0.247,1368,83,Normal
2024-11-06 20:25:40,192.168.0.53,1287,69,Normal
2024-11-06 20:25:40,192.168.0.227,1431,1,DDOS
2024-11-06 20:25:40,192.168.0.161,731,22,Port_Scan
2024-11-06 20:25:41,192.168.0.91,522,13,Port_Scan
2024-11-06 20:25:41,192.168.0.129,937,23,Port_Scan
2024-11-06 20:25:41,192.168.0.69,1305,38,Normal
2024-11-06 20:25:41,192.168.0.130,1346,57,Port_Scan
2024-11-06 20:25:42,192.168.0.199,1379,92,DDOS
2024-11-06 20:25:42,192.168.0.12,728,24,DDOS
2024-11-06 20:25:42,192.168.0.157,621,77,Port_Scan
2024-11-06 20:25:42,192.168.0.150,903,3,Port_Scan
2024-11-06 20:25:43,192.168.0.66,1492,72,Normal
2024-11-06 20:25:43,192.168.0.113,1018,67,Port_Scan
2024-11-06 20:25:43,192.168.0.5,926,33,Normal
2024-11-06 20:25:43,192.168.0.53,583,85,Port_Scan
2024-11-06 20:25:44,192.168.0.165,673,6,Port_Scan
2024-11-06 20:25:44,192.168.0.149,692,38,DDOS
2024-11-06 20:25:44,192.168.0.224,1270,68,Port_Scan
2024-11-06 20:25:44,192.168.0.163,1417,52,Normal
2024-11-06 20:25:45,192.168.0.41,1014,52,DDOS
2024-11-06 20:25:45,192.168.0.73,1125,49,DDOS
2024-11-06 20:25:45,192.168.0.24,1048,91,Port_Scan
2024-11-06 20:25:45,192.168.0.225,1385,28,Normal
2024-11-06 20:25:46,192.168.0.228,680,79,DDOS
2024-11-06 20:25:46,192.168.0.154,1480,34,Port_Scan
2024-11-06 20:25:46,192.168.0.129,675,53,Normal
2024-11-06 20:25:46,192.168.0.140,699,32,DDOS
2024-11-06 20:25:47,192.168.0.30,1038,92,Port_Scan
2024-11-06 20:25:47,192.168.0.203,797,47,Normal
2024-11-06 20:25:47,192.168.0.247,1340,40,DDOS
2024-11-06 20:25:47,192.168.0.91,706,71,DDOS
2024-11-06 20:25:48,192.168.0.114,1489,16,Port_Scan
2024-11-06 20:25:48,192.168.0.99,1280,32,Normal
2024-11-06 20:25:48,192.168.0.132,935,23,DDOS
2024-11-06 20:25:48,192.168.0.51,803,7,Port_Scan
2024-11-06 20:25:49,192.168.0.124,750,60,Port_Scan
2024-11-06 20:25:49,192.168.0.238,793,5,DDOS
2024-11-06 20:25:49,192.168.0.208,1247,21,DDOS
2024-11-06 20:25:49,192.168.0.240,1391,27,DDOS
2024-11-06 20:25:50,192.168.0.162,990,13,Port_Scan
2024-11-06 20:25:50,192.168.0.110,973,19,DDOS
2024-11-06 20:25:50,192.168.0.227,896,57,Port_Scan
2024-11-06 20:25:50,192.168.0.204,923,79,DDOS
2024-11-06 20:25:51,192.168.0.119,1175,82,DDOS
2024-11-06 20:25:51,192.168.0.85,1193,15,Port_Scan
2024-11-06 20:25:51,192.168.0.214,1241,7,DDOS
2024-11-06 20:25:51,192.168.0.80,1469,86,DDOS
2024-11-06 20:25:52,192.168.0.150,964,35,Port_Scan
2024-11-06 20:25:52,192.168.0.96,572,20,Port_Scan
2024-11-06 20:25:52,192.168.0.46,1208,80,DDOS
2024-11-06 20:25:52,192.168.0.90,1205,95,Normal
2024-11-06 20:25:53,192.168.0.105,1122,44,DDOS
2024-11-06 20:25:53,192.168.0.7,585,58,Normal
2024-11-06 20:25:53,192.168.0.102,1273,5,DDOS
2024-11-06 20:28:07,192.168.0.236,849,13,Normal
2024-11-06 20:28:07,192.168.0.116,1419,21,Normal
2024-11-06 20:28:08,192.168.0.239,1067,16,DDOS
2024-11-06 20:28:08,192.168.0.74,909,60,Normal
2024-11-06 20:28:09,192.168.0.96,1145,78,Port_Scan
2024-11-06 20:28:09,192.168.0.67,908,85,Port_Scan
2024-11-06 20:28:10,192.168.0.19,1458,40,Port_Scan
2024-11-06 20:28:10,192.168.0.96,1056,72,DDOS
2024-11-06 20:28:11,192.168.0.217,983,19,DDOS
2024-11-06 20:28:11,192.168.0.1,581,83,Normal
2024-11-06 20:28:11,192.168.0.73,1443,99,DDOS
2024-11-06 20:28:11,192.168.0.58,603,68,DDOS
2024-11-06 20:28:12,192.168.0.165,600,63,Normal
2024-11-06 20:28:12,192.168.0.22,809,85,DDOS
2024-11-06 20:28:12,192.168.0.180,720,24,Normal
2024-11-06 20:28:12,192.168.0.134,1303,59,DDOS
2024-11-06 20:28:13,192.168.0.36,1019,24,DDOS
2024-11-06 20:28:13,192.168.0.151,1404,9,DDOS
2024-11-06 20:28:13,192.168.0.226,1211,36,DDOS
2024-11-06 20:28:13,192.168.0.124,633,42,Port_Scan
2024-11-06 20:28:14,192.168.0.240,676,76,Normal
